0       DEA     28 90 153 154 -1
2       DEA     29 56 -1
3       DEA     30 -1
4       DEA     165 -1
6       DEA     32 -1
5       DEA     33 -1
7       DEA     34 -1
8       DEA     35 64 65 66 -1
10      DEA     36 151 152 -1
14      DEA     37 -1
11      DEA     21 38 -1
12      DEA     117 -1
13      DEA     40 -1
15      DEA     41 -1
42      DEA     42 -1
25      DEA     18 -1
26      DEA     18 -1
28      DEA     80 -1
29      DEA     80 -1
30      DEA     80 -1
31      DEA     80 -1
32      DEA     80 -1
33      DEA     80 -1
34      DEA     80 -1
35      DEA     80 -1
36      DEA     18 -1
16      DEA     80 -1
17      DEA     80 -1
18      DEA     80 -1
19      DEA     80 -1
20      DEA     80 -1
21      DEA     80 -1
22      DEA     80 -1
23      DEA     18 -1
24      DEA     18 -1
43      DEA     53 -1
45      DEA     53 -1
44      DEA     54 -1
46      DEA     54 -1
41      DEA     55 -1
40      DEA     56 -1
47      DEA     150 -1
48      DEA     150 -1
50      DEA     144 -1
49      DEA     148 -1
84      DEA     80 -1
82      DEA     80 -1
83      DEA     80 -1
86      DEA     80 -1
87      DEA     80 -1
88      DEA     28 -1
89      DEA     80 -1
91      DEA     80 -1
97      DEA     80 -1
98      DEA     80 -1
47      DEA     150 -1
48      DEA     150 -1
78	DEA	80 -1
79	DEA	80 -1
103	DEA	80 -1
104	DEA	80 -1
98      AMB     60 58 59 57 -1
99      AMB     57 58 59 -1
0       GUN     0 -1
1       GUN     91 92 93 92 92 92 92 -1
2       GUN     166 167 168 -1
3       GUN     166 167 168 -1
4       GUN     0 -1
5       GUN     3 9 -1
6       GUN     0 -1
7       GUN     11 137 177 11 137 11 137 -1
8       GUN     11 137 177 11 137 11 137 -1
9       GUN     11 137 177 11 137 11 137 -1
10      GUN     7 -1
11      GUN     7 -1
12      GUN     7 -1
13      GUN     78 -1
14      GUN     78 -1
15      GUN     12 13 14 -1
16      GUN     12 13 14 -1
17      GUN     12 13 14 -1
18      GUN     0 -1
19      GUN     0 -1
20      GUN     0 -1
21      GUN     1 2 -1
22      GUN     1 2 -1
23      GUN     1 2 -1
24      GUN     4 -1
25      GUN     4 -1
26      GUN     4 -1
27      GUN     0 -1
28      GUN     0 -1
29      GUN     0 -1
30      GUN     22 -1
31      GUN     0 -1
32      GUN     0 -1
33      GUN     0 -1
34      GUN     94 -1
35      GUN     94 -1
36      GUN     94 -1
37      GUN     8 -1
38      GUN     0 -1
39      GUN     17 -1
40      GUN     22 -1
41      GUN     94 -1
42      GUN     8 -1
43      GUN     8 -1
44      GUN     0 -1
45      GUN     0 -1
46      GUN     0 -1
47      GUN     0 -1
48      GUN     169 170 -1
49      GUN     171 172 -1
50      GUN     173 -1
51      GUN     174 -1
52      GUN     178 179 -1
53      GUN     27 31 -1
54      GUN     135 182 -1
55      GUN     15 -1
56      GUN     15 -1
57      GUN     194 -1
58      GUN     194 -1
59      GUN     194 -1
60      GUN     43 -1
61      GUN     9 3 -1
62      GUN     44 -1
0       SEL     81 83 -1 4
1       SEL     113 -1 22
2       SEL     84 85 86 -1 6
3       SEL     88 -1 10
4       SEL     162 163 164 -1 3
6       SEL     89 -1 8
5       SEL     87 -1 12
43      SEL     131 -1 18
8       SEL     67 68 69 -1 4
11      SEL     70 -1 10
13      SEL     71 -1 12
44      SEL     72 -1 18
14      SEL     73 -1 8 
10      SEL     74 96 -1 6
9       SEL     75 -1 22
12      SEL     115 -1 3
50      SEL     141 142 143 -1 14
49      SEL     145 146 147 -1 14
69      SEL     192 193 -1 2
70      SEL     192 193 -1 2
71      SEL     192 193 -1 2
72      SEL     192 193 -1 2
73      SEL     198 10 -1 2
74      SEL     198 10 -1 2
75      SEL     198 10 -1 2
76      SEL     198 10 -1 2
63      SEL     51 -1 1
64      SEL     51 -1 1 
65      SEL     51 -1 1
66      SEL     51 -1 1
67      SEL     51 -1 1
68      SEL     51 -1 1
105	SEL	51 -1 1
23      SEL     170 -1 28
24      SEL     170 -1 28
25      SEL     170 -1 28
26      SEL     170 -1 28
36      SEL     170 -1 28
43      DPY     100 -1
44      DPY     101 -1
1       DPY     102 -1
4       DPY     175 -1
9       DPY     103 -1
6       DPY     104 -1
12      DPY     176 -1
14      DPY     98 -1
49      DPY     138 -1
50      DPY     138 -1
69      DPY     195 -1
70      DPY     195 -1
71      DPY     195 -1
72      DPY     195 -1
73      DPY     39 -1
74      DPY     39 -1
75      DPY     39 -1
76      DPY     39 -1
66      DPY     46 -1
63      DPY     47 -1
64      DPY     48 -1
65      DPY     49 -1
67      DPY     50 -1
0       EXP     0  -1
1       EXP     80 157 -1
2       EXP     80 -1
3       EXP     80 -1
4       EXP     80 -1
9       EXP     155 156 -1
0       ACK     105 106 107 -1 4
1       ACK     108 -1 22
2       ACK     109 -1 6
3       ACK     110 -1 10
4       ACK     158 159 160 161 -1 3
6       ACK     112 -1 8
5       ACK     111 139 -1 12
7       ACK     34 -1 26
8       ACK     120 121 122 123 -1 4 
9       ACK     42 -1 22 
10      ACK     124 125 126 -1 6
14      ACK     99 -1 8
11      ACK     127 -1 10
12      ACK     119 114 116 -1 3
13      ACK     128 185 -1 12
15      ACK     41 -1 26
43      ACK     129 -1 18
44      ACK     130 -1 18
50      ACK     140 -1 14
49      ACK     149 -1 14
69      ACK     188 189 190 191 -1 2
70      ACK     188 189 190 191 -1 2
71      ACK     188 189 190 191 -1 2
72      ACK     188 189 190 191 -1 2
73      ACK     34 196 197 198 199 -1 2
74      ACK     34 196 197 198 199 -1 2
75      ACK     34 196 197 198 199 -1 2
76      ACK     34 196 197 198 199 -1 2
63      ACK     52 -1 1
64      ACK     52 -1 1
65      ACK     52 -1 1
66      ACK     52 -1 1
67      ACK     52 -1 1
68      ACK     52 -1 1
105	ACK	52 -1 1
23      ACK     170 -1 28
24      ACK     170 -1 28
25      ACK     170 -1 28
26      ACK     170 -1 28
36      ACK     170 -1 28
1       XTR     183 -1 
2       XTR     61 -1 
3       XTR     5 -1 
4       XTR     5 -1 
5       XTR     1 -1 
6       XTR     1 -1 
7       XTR     1 -1 
8       XTR     1 -1 
9       XTR     1 -1 
10      XTR     1 -1 
11      XTR     1 -1 
