0  .\SOUND\UNIT.WAV	1 1 0 0
1  .\SOUND\SYTH1WEA.WAV 1 1 0 0
2  .\SOUND\SYTH2WEA.WAV 1 1 0 0
3  .\SOUND\SNIPER.WAV   2 1 0 0
4  .\SOUND\ATRILWEA.WAV 1 1 0 0
5  .\SOUND\CAPTURE.WAV  1 1 0 0
6  .\SOUND\BELOW.WAV    1 1 0 0
7  .\SOUND\BARRWEA.WAV  1 1 0 0
8  .\SOUND\VTOLWEA.WAV  5 1 0 0
9  .\SOUND\SNIPER2.WAV  2 1 0 0
10 .\SOUND\GCSEL.WAV    1 1 0 0
11 .\SOUND\MECHWEA.WAV  2 1 0 0
12 .\SOUND\GRAY1WEA.WAV 1 1 0 0
13 .\SOUND\GRAY2WEA.WAV 1 1 0 0 
14 .\SOUND\GRAY3WEA.WAV 1 1 0 0  
15 .\SOUND\GRAY2WEA.WAV 1 1 0 0 
16 .\SOUND\GRAY1WEA.WAV 1 1 0 0 
17 .\SOUND\GRAY3WEA.WAV 1 1 0 0  
18 .\SOUND\INDGDIE.WAV  3 1 0 0
19 .\SOUND\WHALE.WAV    1 1 -600 0
20 .\SOUND\CLICK.WAV    1 1 0 0
21 .\SOUND\ATRL1DEA.WAV 1 1 0 0
22 .\SOUND\SYCWEA.WAV   2 1 0 0
23 .\SOUND\DCHIRP2.WAV  1 1 -600 0
24 .\SOUND\BEAT2.WAV  1 1 0 0
25 .\SOUND\DCHIRP3.WAV  1 1 -600 0
26 .\SOUND\DAYCHIRP.WAV  1 1 0 0
27 .\SOUND\BATWEA.WAV  1 1 0 0
28 .\SOUND\TROPDEA3.WAV 2 1 0 0
29 .\SOUND\MECHDEA.WAV  2 1 0 0
30 .\SOUND\MORTDEA.WAV  2 1 0 0
31 .\SOUND\BATWEA1.WAV  1 1 0 0
32 .\SOUND\EXPLODEA.WAV 2 1 0 0
33 .\SOUND\VTOLDEA.WAV  2 1 0 0
34 .\SOUND\GCSEL1.WAV   1 1 0 0
35 .\SOUND\GRAY1DEA.WAV 2 1 0 0
36 .\SOUND\SYTHDEA.WAV  2 1 0 0
37 .\SOUND\SLUGDEA.WAV  2 1 0 0
38 .\SOUND\ATRILDEA.WAV 2 1 0 0
39 .\SOUND\GC2NDFI.WAV  1 1 0 0
40 .\SOUND\ORTUDEA.WAV  2 1 0 0
41 .\SOUND\BRTHWTR.WAV  2 1 -600 0
42 .\SOUND\XENODEA.WAV  2 1 0 0
43 .\SOUND\GCDPLY.WAV   1 1 0 0
44 .\SOUND\GCLAZER.WAV  1 1 0 0
45 .\SOUND\DROPLP.WAV   5 1 0 1
46 .\SOUND\BALLDPLY.WAV 3 1 0 0
47 .\SOUND\LENSDPLY.WAV 3 1 0 0
48 .\SOUND\MKTDPLY.WAV  3 1 0 0
49 .\SOUND\LUNADPLY.WAV 3 1 0 0
50 .\SOUND\TEKDPLY.WAV  3 1 0 0
51 .\SOUND\ARTSEL.WAV   1 1 0 0
52 .\SOUND\ARTACK.WAV   1 1 0 0
53 .\SOUND\GMINEDEA.WAV 2 1 0 0
54 .\SOUND\GMINEDEA.WAV 2 1 0 0
55 .\SOUND\TOWERDEA.WAV 2 1 0 0
56 .\SOUND\MECHDEA1.WAV 2 1 0 0
57 .\SOUND\BIRDCALL.WAV 2 1 0 0
58 .\SOUND\BUG.WAV      2 1 0 0
59 .\SOUND\CHIGGERS.WAV 2 1 0 0
60 .\SOUND\NIGHTBUG.WAV 2 1 -600 0
61 .\SOUND\WATER.WAV    2 1 -600 0
62 .\SOUND\PIPSTEAM.WAV  2 1 0 0
63 .\SOUND\NAPALM.WAV	2 1 0 1
64 .\SOUND\GRAY2DEA.WAV 2 1 0 0
65 .\SOUND\GRAY3DEA.WAV 2 1 0 0
66 .\SOUND\GRAY4DEA.WAV 2 1 0 0
67 .\SOUND\GRAY1SEL.WAV 1 1 0 0
68 .\SOUND\GRAY2SEL.WAV 1 1 0 0
69 .\SOUND\GRAY3SEL.WAV 1 1 0 0
70 .\SOUND\ATRILSEL.WAV 1 1 0 0
71 .\SOUND\ORTUSEL.WAV  1 1 0 0
72 .\SOUND\SLOMSEL.WAV  1 1 0 0
73 .\SOUND\SLUGSEL.WAV  1 1 0 0
74 .\SOUND\SYTHSEL.WAV  1 1 0 0
75 .\SOUND\XENOSEL.WAV  1 1 0 0
76 .\SOUND\ROCK.WAV     2 1 -600 0
77 .\SOUND\CREEP.WAV    2 1 0 0
78 .\SOUND\CYWEA.WAV    2 1 0 0
79 .\SOUND\SLUGDPY.WAV  1 1 0 0
80 .\SOUND\EXPLO.WAV    3 1 0 0
81 .\SOUND\TRP1SEL.WAV  1 1 0 0
82 .\SOUND\DROPLPG.WAV  5 1 0 1
83 .\SOUND\TRP3SEL.WAV  1 1 0 0
84 .\SOUND\MECH1SEL.WAV 1 1 0 0
85 .\SOUND\MECH2SEL.WAV 1 1 0 0
86 .\SOUND\MECH3SEL.WAV 1 1 0 0
87 .\SOUND\VTOL1SEL.WAV 1 1 0 0
88 .\SOUND\BARR1SEL.WAV 1 1 0 0
89 .\SOUND\EXP1SEL.WAV  1 1 0 0
90 .\SOUND\TROPDEA2.WAV 2 1 0 0
91 .\SOUND\TRPWEA.WAV   2 1 0 0
92 .\SOUND\TRP1WEA.WAV  2 1 0 0
93 .\SOUND\TRP2WEA.WAV  2 1 0 0
94 .\SOUND\TOWERWEA.WAV 2 1 0 0
95 .\SOUND\ARTDIG.WAV	2 1 0 1
96 .\SOUND\SCYT1SEL.WAV 1 1 0 0
97 .\SOUND\BUTTON.WAV   1 1 0 0
98 .\SOUND\SLUGDPY.WAV  3 1 0 0
99 .\SOUND\SLUGAKN.WAV  1 1 0 0
100 .\SOUND\ENGDPLY.WAV 3 1 0 0
101 .\SOUND\SLOMDPLY.WAV 3 1 0 0
102 .\SOUND\TURRDPLY.WAV 3 1 0 0
103 .\SOUND\XENODPLY.WAV 3 1 0 0
104 .\SOUND\EXPLDPLY.WAV 3 1 0 0
105 .\SOUND\TRP1ACK.WAV 1 1 0 0
106 .\SOUND\TRP2ACK.WAV 1 1 0 0
107 .\SOUND\TRP3ACK.WAV 1 1 0 0
108 .\SOUND\TURRACK.WAV 1 1 0 0
109 .\SOUND\MECHACK.WAV 1 1 0 0
110 .\SOUND\BARRACK.WAV 1 1 0 0
111 .\SOUND\VTOLACK.WAV 1 1 0 0
112 .\SOUND\EXPACK.WAV  1 1 0 0
113 .\SOUND\TURRSEL.WAV 1 1 0 0
114 .\SOUND\PSYSEL.WAV  1 1 0 0
115 .\SOUND\PSY1SEL.WAV 1 1 0 0
116 .\SOUND\PSY2SEL.WAV 1 1 0 0
117 .\SOUND\PSYDEA.WAV  2 1 0 0
118 .\SOUND\BASE.WAV	1 1 0 0
119 .\SOUND\PSYACK.WAV  1 1 0 0
120 .\SOUND\GRAY1ACK.WAV 1 1 0 0
121 .\SOUND\GRAY2ACK.WAV 1 1 0 0
122 .\SOUND\GRAY3ACK.WAV 1 1 0 0
123 .\SOUND\GRAY4ACK.WAV 1 1 0 0
124 .\SOUND\SYTH1ACK.WAV 1 1 0 0
125 .\SOUND\SYTH2ACK.WAV 1 1 0 0
126 .\SOUND\SYTH3ACK.WAV 1 1 0 0
127 .\SOUND\ATRL1ACK.WAV 1 1 0 0
128 .\SOUND\ORTU1ACK.WAV 1 1 0 0
129 .\SOUND\ENGACK.WAV  1 1 0 0
130 .\SOUND\SLOMACK.WAV 1 1 0 0
131 .\SOUND\ENGSEL.WAV  1 1 0 0
132 .\SOUND\BEEP.WAV    1 1 0 0
133 .\SOUND\DRAIN.WAV   2 1 -600 0
134 .\SOUND\HUM.WAV     1 1 -1000 1
135 .\SOUND\GRUBWEA.WAV 2 1 0 0
136 .\SOUND\HLIGHT.WAV  2 1 -1000 0
137 .\SOUND\MECHWEA2.WAV 1 1 0 0
138 .\SOUND\HEAL.WAV     3 1 0 0
139 .\SOUND\VTOLACK2.WAV 1 1 0 0
140 .\SOUND\GHELACK.WAV  1 1 0 0
141 .\SOUND\GHELSEL.WAV  1 1 0 0
142 .\SOUND\GHELSEL1.WAV 1 1 0 0
143 .\SOUND\GHELSEL2.WAV 1 1 0 0
144 .\SOUND\GHELDEA.WAV  2 1 0 0
145 .\SOUND\HHELSEL.WAV  1 1 0 0
146 .\SOUND\HHELSEL1.WAV 1 1 0 0
147 .\SOUND\HHELSEL2.WAV 1 1 0 0
148 .\SOUND\HHELDEA.WAV  2 1 0 0
149 .\SOUND\HHELACK.WAV  1 1 0 0
150 .\SOUND\VENTPOO.WAV 1 1 0 0
